playerID,year,tmID,PTS,FGM,FGA,FTM,FTA,DREB,OREB,AST,STL,BLK,PF,TO,GmPTS,GmFGM,GmFGA,GmFTM,GmFTA,GmDREB,GmOREB,GmAST,GmSTL,GmBLK,GmPF,GmTO,PIE
ngoyibe01w,7,CHI,302,122,231,58,98,105,65,28,14,7,89,60,2322,858,2175,449,643,680,357,509,277,125,674,527,0.1419893697798026
ngoyibe01w,9,IND,83,30,63,23,32,33,20,7,6,7,45,31,2473,876,2179,495,656,778,349,500,324,165,727,585,0.015745501285347043
nieuwma01w,6,LAS,4,2,3,0,0,0,2,0,0,0,5,2,2326,873,2042,456,630,683,321,551,264,136,737,492,-0.002026342451874367
nnamach01w,9,ATL,16,6,26,2,3,6,6,2,5,0,11,4,2534,895,2258,542,725,737,340,492,285,142,796,593,-0.0029542097488921715
nolande01w,2,DET,192,64,194,43,53,37,16,30,17,6,43,35,2103,774,1914,412,542,621,324,469,225,82,602,498,0.05515587529976019
nolande01w,3,DET,277,103,248,29,36,70,17,62,27,12,74,61,2114,766,1919,472,651,719,360,478,201,132,609,541,0.1281347962382445
nolande01w,4,DET,396,136,312,76,96,95,12,83,41,14,65,69,2553,902,2004,624,882,851,379,545,263,158,605,608,0.1562254259501966
nolande01w,5,DET,464,166,435,99,124,105,29,112,66,12,75,90,2366,874,2097,556,792,773,397,564,277,148,648,513,0.1889739663093415
nolande01w,6,DET,524,184,462,128,160,125,31,121,55,14,64,100,2247,831,2060,509,774,803,412,474,241,155,761,571,0.30552147239263805
nolande01w,7,DET,468,172,425,85,100,121,32,124,47,11,79,86,2527,919,2220,553,746,880,406,572,213,137,711,537,0.2024397327911705
nolande01w,8,DET,553,221,480,65,79,113,35,132,49,12,69,82,2697,972,2261,595,785,931,380,563,227,117,702,564,0.23237054384595368
nolande01w,9,DET,538,216,465,63,73,107,26,150,42,10,68,73,2672,974,2295,556,744,843,405,604,278,118,724,496,0.23581238662866028
nolande01w,10,DET,559,214,525,91,116,105,36,116,44,10,91,73,2652,980,2277,539,721,853,373,575,261,97,766,546,0.19439775910364146
nygaava01w,1,POR,253,91,209,41,54,71,50,30,17,5,98,38,2155,761,1828,488,697,627,309,480,265,93,761,593,0.1197632058287796
nygaava01w,2,POR,76,28,72,1,3,22,13,10,6,2,48,14,2088,733,1891,450,612,696,300,451,244,106,633,500,0.010984540276647681
nygaava01w,3,MIA,120,43,101,10,13,40,27,9,11,1,49,13,2046,774,1856,369,529,573,296,476,274,96,643,435,0.0570281124497992
nygaava01w,4,LAS,41,16,36,3,4,8,11,5,3,0,22,4,2499,894,2140,537,678,813,336,587,242,161,682,470,0.008376114563631451
ogayu01w,9,PHO,56,20,57,16,17,12,5,14,7,0,13,22,3010,1069,2485,642,773,851,375,560,232,156,794,489,0.008858032080440507
ohldeni01w,5,MIN,397,136,308,125,177,111,83,60,16,45,103,74,2165,767,1900,454,640,724,332,526,257,139,660,613,0.18776130748764727
ohldeni01w,6,MIN,382,133,292,116,142,131,63,78,21,22,92,84,2211,801,1946,437,601,715,310,531,258,127,624,536,0.200409696142028
ohldeni01w,7,MIN,327,120,265,87,131,129,61,54,20,25,99,74,2523,945,2211,485,681,804,340,491,193,113,654,530,0.13257932767829092
ohldeni01w,8,MIN,392,128,342,136,161,139,69,56,17,20,127,82,2636,971,2355,531,674,785,397,596,238,95,713,561,0.11794117647058823
ohldeni01w,9,MIN,197,73,161,51,65,68,44,45,10,22,88,50,2767,991,2303,652,864,792,353,557,309,131,751,472,0.058854166666666666
ohldeni01w,10,PHO,109,38,71,33,46,40,19,6,5,20,55,29,3156,1128,2454,643,752,906,284,625,225,181,740,500,0.0200445434298441
oneilkr01w,9,SEA,0,0,4,0,0,3,0,1,0,0,4,1,2493,899,2112,552,728,822,340,530,269,140,684,526,-0.002849002849002849
osipoir01w,7,DET,2,0,0,2,2,0,1,0,0,0,1,1,2527,919,2220,553,746,880,406,572,213,137,711,537,0.0002904443799012489
owenhe01w,1,WAS,2,1,4,0,0,7,2,2,0,0,12,3,2176,832,1813,403,578,646,300,521,245,126,597,506,-0.0038910505836575876
owenssh01w,1,MIA,131,51,131,29,54,50,47,21,11,26,95,54,1831,647,1774,452,664,595,365,415,272,88,707,524,-0.005847953216374269
owenssh01w,3,CHA,0,0,0,0,0,2,0,0,0,0,0,0,2241,770,1790,490,663,653,302,496,241,105,647,408,0.0012606366214938543
pageda01w,9,CON,6,3,5,0,0,4,2,0,0,0,3,2,2690,965,2286,539,723,869,370,607,211,97,629,487,0.0020105554159336515
pagemu01w,1,WAS,314,131,222,52,92,129,79,64,23,32,103,63,2176,832,1813,403,578,646,300,521,245,126,597,506,0.187094682230869
pagemu01w,2,WAS,225,100,231,21,36,103,74,55,30,36,88,60,1928,739,1915,333,504,699,356,424,257,127,537,495,0.1486544211875267
pagemu01w,3,WAS,208,88,195,30,53,100,55,37,14,15,79,45,2135,806,1910,359,478,708,330,516,221,94,583,455,0.09144350097975179
pagemu01w,4,WAS,213,83,220,42,56,90,62,35,18,24,101,41,2330,896,2191,381,507,703,382,568,213,99,676,462,0.07087930458040789
pagemu01w,5,WAS,184,81,175,22,40,100,40,36,25,16,85,30,2325,873,2088,474,661,726,337,467,255,128,652,424,0.0955810147299509
pagemu01w,6,WAS,108,47,119,8,8,62,21,25,15,9,56,23,2263,847,1968,388,546,677,266,517,260,76,697,435,0.05010155721056195
pagemu01w,7,LAS,167,66,140,35,46,81,40,33,17,9,63,30,2575,962,2195,540,726,852,350,610,296,129,679,534,0.0744653439835094
pagemu01w,8,LAS,163,71,170,19,24,78,33,45,14,9,68,25,2533,940,2305,493,627,783,356,554,245,107,732,571,0.08028488183878278
pagemu01w,9,LAS,42,16,49,8,12,22,13,14,5,1,33,11,2598,954,2248,539,717,896,386,613,251,216,713,608,0.00482315112540193
paigeyo01w,6,IND,16,6,22,3,4,7,2,13,2,0,1,6,2170,784,1958,452,595,671,341,493,336,95,668,477,0.010518934081346423
